question,answer
"is the following statement true or false?
animal cells do not have cytoplasm.",false
"look at the word. does it have a closed syllable or an open syllable?
help",closed
"based on this information, what is arrow's genotype for the fur length gene?",Ff
is directing traffic a good or a service?,a service
what is the volume of a water bottle?,2 cups
how long is a paintbrush?,30 centimeters
how long is a soccer field?,120 meters
"what does the simile in this text suggest?
my momma always said life was like a box of chocolates. you never know what you're gonna get.
—forrest gump",Life is unpredictable.
"does this passage describe the weather or the climate?
pedro lives in a town with hot summers and freezing cold winters.",climate
"would you find the word grunt on a dictionary page with the following guide words?
generous - glitter",no
what is the mass of a fly?,1 gram
"according to newton's third law, what other force must be happening?",The wheelchair is pushing on Danny.
"what do these two changes have in common?
acid rain weathering a marble statue
deep-frying chicken",Both are chemical changes.
"what does the euphemism in this text suggest?
ed is big-boned, so despite being in middle school, he often shops in the men's department.",Ed is overweight.
"based on this information, what is ringo's phenotype for the fur texture trait?",straight fur
how long does it take to drink a small glass of water?,55 seconds
"what kind of sentence is this?
caribou eat plants and grass in the summer and mushrooms and lichen in the winter.",declarative
"would you find the word decay on a dictionary page with the following guide words?
distinct - draw",no
what information supports the conclusion that lexi inherited this trait?,Both of Lexi's biological parents have naturally black hair.
what information supports the conclusion that quincy acquired this trait?,Quincy's scar was caused by an accident. He cut his leg when he fell off his skateboard.
"is the following trait inherited or acquired?
sue has five fingers on each hand.",inherited
"what kind of sentence is this?
give ronald a tour of the building and then take him to mr. cain's office.",imperative
what information supports the conclusion that jon inherited this trait?,Jon's parents have blond hair. They passed down this trait to Jon.
what information supports the conclusion that regan inherited this trait?,Regan's father has brown eyes. He passed this trait down to Regan.
"would you find the word linen on a dictionary page with the following guide words?
leather - lying",yes
what is the temperature of a cup of hot cocoa?,70°C
"choose the poem that has a regular rhythm, or a pattern of sound like a beat.","How does the little crocodile
Improve his shining tail,
And pour the waters of the Nile
On every golden scale!"
"what does the metaphor in this text suggest?
when malik lost his job, he was devastated. the only light in the sea of darkness was the prospect of pursuing a new career.",There was a benefit to Malik's job loss.
"what is the source of the allusion in the sentence below?
martina was known among her coworkers for her spartan ways.",Greek history
"is the following trait inherited or acquired?
layla has a scar on her left elbow.",acquired
a recent news story said a healthy diet is the key to living longer. it said people should eat less meat and more vegetables. what will probably happen to the overall supply of vegetables over the next year?,The supply will probably go up.
"what do these two changes have in common?
melting glass
dry ice sublimating and becoming a gas",Both are caused by heating.
how long is a pen?,19 centimeters
"last year, there were seven men's clothing stores on main street in fairview. this year, there are only three. what probably happened to the overall supply of men's shirts in fairview?",The supply probably went down.
"what kind of sentence is this?
would you like bacon with your eggs?",interrogative
what information supports the conclusion that molly inherited this trait?,Molly's father has brown eyes. He passed this trait down to Molly.
"complete the sentence.
sawing a log in half is a ().",physical change
"what do these two changes have in common?
an old sandwich rotting in a trashcan
a piece of apple turning brown",Both are chemical changes.
"would you find the word unite on a dictionary page with the following guide words?
umbrella - usual",yes
"what does the allusion in this text suggest?
with the gutters clogged and water rising in the streets, cara, who was watching the storm from her window, commented, ""we're going to need an ark to get out of here.""",Cara thinks the storm will cause major flooding.
"what kind of sentence is this?
please cut up the watermelon.",imperative
what is the volume of a carton of orange juice?,60 fluid ounces
"what do these two changes have in common?
mixing chocolate syrup into milk
water vapor condensing on a bathroom mirror",Both are only physical changes.
"complete the sentence.
water boiling on a stove is a ().",physical change
"what is the source of the allusion in the sentence below?
pamela warned her youngest son not to cry wolf while wrestling with his older brother.",a fable
"complete the statement.
sodium iodide is ().",a compound
what is the volume of a large trash can?,20 gallons
"based on this information, what is astro's phenotype for the coat color trait?",a black coat
"would you find the word fifty on a dictionary page with the following guide words?
felt - foster",yes
"what is the source of the allusion in the sentence below?
much to our shock, percy chose to turn the other cheek when shelby insulted him in a meeting.",the Bible
"complete the statement.
graphite is ().",an elementary substance
is a rubber band a good or a service?,a good
how long does it take for an ice cube to melt on a hot sidewalk?,4 minutes
"is this a sentence fragment?
derailed by miscommunication and a lack of funding, evan and jon's new business venture.",yes
"what do these two changes have in common?
water evaporating from a puddle
dust settling out of the air",Both are only physical changes.
"based on this information, what is rover's phenotype for the fur length trait?",long fur
what information supports the conclusion that brittany acquired this trait?,Brittany learned to identify insects by reading many books about insects.
is a skateboard a good or a service?,a good
"would you find the word herd on a dictionary page with the following guide words?
however - hue",no
how long is an eyelash?,7 millimeters
what is the mass of an earthworm?,5 grams
"what is the source of the allusion in the sentence below?
abby thinks mr. larson is a luddite because he doesn't own a cell phone.",British history
"what is the source of the allusion in the sentence below?
most of the people who knew dale considered him to be an unrepentant casanova.",history
what information supports the conclusion that nicole inherited this trait?,Nicole's parents were born with wavy hair. They passed down this trait to Nicole.
"what does the verbal irony in this text suggest?
according to mr. long's kids, his snoring is as quiet as a jackhammer.",The snoring is loud.
"complete the sentence.
building a tower out of magnetic blocks is a ().",physical change
"what is the source of the allusion in the sentence below?
for several years, dora maar was pablo picasso's muse.",Greek mythology
"complete the sentence so that it uses personification.
despite centuries of decay, the ancient structure still stands tall and ().",proud
"based on this information, what is zora's genotype for the eye color gene?",EE
"is the following trait inherited or acquired?
elizabeth is good at knitting sweaters.",acquired
"what do these two changes have in common?
water evaporating from a lake
stretching a rubber band",Both are only physical changes.
"would you find the word beginner on a dictionary page with the following guide words?
bade - butterfly",yes
"last year, 50,000 people lived in the city of norwood. but since then, 8,000 people have moved away. what probably happened to the overall supply of houses for sale in norwood?",The supply probably went up.
"what is the source of the allusion in the sentence below?
after a long second half full of sound and fury, the soccer game concluded in a tie.",Shakespeare
"would you find the word long on a dictionary page with the following guide words?
level - lion",no
"based on this information, what is this tomato plant's phenotype for the fruit texture trait?",smooth fruit
"complete the sentence so that it uses personification.
the giant boulder () budge, no matter how hard we pushed.",refused to
"complete the sentence so that it uses personification.
slowly, a renewed sense of dread () her mind.",invaded
"is the following trait inherited or acquired?
martha can ride a bicycle.",acquired
"read the following excerpt from a student essay. how can the writer best improve his or her grammar and mechanics?
in great expectations by charles dickens, pip, a young orphan, is sent by his sister to the home of miss havisham, a wealthy, eccentric woman. there he meets estella, a beautiful girl whom he falls hopelessly in love with. on one visit to miss havisham's, pip encounters a boy who challenges him to a fight; wanting to impress estella, he hits the boy. ""i never have been so surprised in my life as i was when i let out the first blow and saw him lying on his back, looking up at me with a bloody nose"", pip recounts. estella seems delighted and says to pip ""come here! you may kiss me if you like"".",by punctuating quotations correctly
"what kind of sentence is this?
i can't believe this is janet's first time seeing the pacific ocean!",exclamatory
what information supports the conclusion that grayson inherited this trait?,Grayson's biological mother often wears her naturally brown hair in a bun.
"what is the source of the allusion in the sentence below?
alec's falstaffian nature makes him stand out at a party.",Shakespeare
how long is a soccer field?,95 meters
how long does it take to make a paper airplane?,40 seconds
"complete the sentence.
a firework exploding is a ().",chemical change
how long does it take to blow your nose?,4 seconds
"what does the idiom in this text suggest?
""speak of the devil!"" tina declared when larry strolled into the room.",Tina had just been speaking about Larry.
"complete the statement.
ruthenium is ().",an elementary substance
"the city of ashland has been one of the world's biggest makers of cough drops for many years. but last month, ashland's cough drop factories were destroyed by floods. what will probably happen to the overall supply of cough drops?",The supply will probably go down.
"what does the verbal irony in this text suggest?
""that fits you well,"" ron remarked after marcy's cap fell over her eyes for the tenth time.",The cap was too big.
"what do these two changes have in common?
butter melting on a hot day
burning a marshmallow over a campfire",Both are caused by heating.
what information supports the conclusion that sebastian inherited this trait?,Sebastian's parents were born with straight hair. They passed down this trait to Sebastian.
how long does it take to tie your shoes?,24 seconds
what information supports the conclusion that linda acquired this trait?,Linda learned how to build a fire at summer camp.
"what do these two changes have in common?
boiling sugar to make caramel
water boiling on a stove",Both are caused by heating.
what information supports the conclusion that haley acquired this trait?,Haley learned how to make chili from a recipe book.
"what is the source of the allusion in the sentence below?
the economist had been quietly publishing articles about the future of the housing market like a dutiful cassandra.",Greek mythology
"what does this works cited entry indicate about the cited work?
blake, william. the complete poetry and prose of william blake. ed. david v. erdman. new york: anchor, 1988. print.",It is a book.
how long does it take to see all the animals at the zoo?,3 hours
"based on this information, what is fido's phenotype for the fur length trait?",long fur
"what is the source of the allusion in the sentence below?
""michael's personality is very jekyll and hyde,"" carrie told her brother.",literature
"what do these two changes have in common?
a log decomposing in the woods
an old sandwich rotting in a trashcan",Both are chemical changes.
how long is a parking space?,22 feet
"complete the sentence.
in this chemical reaction, hydrogen is a ().",product
what is the volume of a fish bowl?,3 liters
what information supports the conclusion that steven acquired this trait?,Steven's scar was caused by an accident. He cut his arm when he fell off his bicycle.
what information supports the conclusion that mabel inherited this trait?,Mabel's parents were born with wavy hair. They passed down this trait to Mabel.
"complete the statement.
phosphorus tribromide is ().",a compound
"would you find the word throb on a dictionary page with the following guide words?
taper - tentacle",no
"based on this information, what is marlin's phenotype for the eye color trait?",black eyes
"based on this information, what is this fruit fly's genotype for the wing type gene?",nn
"based on this information, what is cheyenne's phenotype for the horns trait?",not having horns
how long is a long-distance running race?,24 kilometers
"what does the verbal irony in this text suggest?
""this salsa could use a little more spice,"" vijay said as he gulped down water and wiped tears from his eyes.",The salsa was too spicy.
"is the following trait inherited or acquired?
jason can ride a motorcycle.",acquired
"according to newton's third law, what other force must be happening?",The door is pushing on Kinsley's hand.
what information supports the conclusion that gwen acquired this trait?,Gwen's scar was caused by an accident. She cut her arm when she fell off her bicycle.
how long is the mississippi river?,"2,300 miles"
how long is the red sea?,"2,240 kilometers"
"the city of fairview has been one of the world's biggest makers of cough drops for many years. but last month, fairview's cough drop factories were destroyed by floods. what will probably happen to the overall supply of cough drops?",The supply will probably go down.
how long does it take to sing the abc song?,26 seconds
"based on this information, what is peanut's phenotype for the fur color trait?",brown fur
"complete the statement. assume that the water balloon's mass did not change.
the gravitational potential energy stored between the water balloon and earth () as the water balloon fell toward alec.",decreased
"would you find the word impolite on a dictionary page with the following guide words?
ice - intense",yes
how long is an adult great white shark?,5 meters
"what do these two changes have in common?
sewing an apron
water evaporating from a lake",Both are only physical changes.
"is this a run-on sentence?
it is estimated that ten percent of the population has a fear of needles, medical researchers are developing devices that make injections pain-free.",yes
"is the following trait inherited or acquired?
katy is good at baking.",acquired
what information supports the conclusion that ling acquired this trait?,Ling's scar was caused by an accident. She cut her arm when she fell off her bicycle.
how long is an adult great white shark?,6 yards
what information supports the conclusion that melissa inherited this trait?,Melissa's parents were born with wavy hair. They passed down this trait to Melissa.
how long is a tennis racket?,55 centimeters
"does this passage describe the weather or the climate?
southern california usually gets strong winds in the fall and winter. people call them santa ana winds.",climate
"what do these two changes have in common?
chicken cooking in an oven
making paper from wood",Both are chemical changes.
how long is a spider's leg?,17 millimeters
what is the mass of an apple?,110 grams
"would you find the word blouse on a dictionary page with the following guide words?
board - bundle",no
"does this passage describe the weather or the climate?
the dry season in emmett's hometown usually lasts from november to may.",climate
"based on this information, what is fifi's genotype for the ear type gene?",EE
"does the sentence use a simile or a metaphor?
mrs. robertson is an owl, working at night and sleeping during the day.",metaphor
"based on this information, what is this plant's phenotype for the fruit color trait?",red fruit
"would you find the word blessing on a dictionary page with the following guide words?
billow - brown",yes
what is the mass of a skateboard?,3 kilograms
"what does the allusion in this text suggest?
the swordsman achieved a pyrrhic victory, defeating his opponent while incurring mortal wounds of his own.",The victory came at a great cost.
many people around the world celebrate the new year on january 1. but many other people celebrate the new year on different days. why?,They use different calendars.
choose the poem that uses anaphora.,"You and I shall laugh together with the storm,
And together we shall dig graves for all that die in us,
And we shall stand in the sun with a will,
And we shall be dangerous."
"what does the verbal irony in this text suggest?
while waiting for her search results, katie exclaimed, ""my internet connection is as speedy as a snail!""",The Internet connection was very slow.
"by 1860, there were almost four million enslaved african american people in the united states. what is an enslaved person?",a person who is owned by someone else
"what is the source of the allusion in the sentence below?
""erica is such a pollyanna!"" jon announced with a sigh.",literature
"what kind of sentence is this?
consider yourself fortunate that you missed the test.",imperative
"is the following trait inherited or acquired?
alexa has naturally red hair.",inherited
"complete the sentence.
a seedling is ().",a young plant
what information supports the conclusion that wendy acquired this trait?,Wendy learned to identify insects by reading many books about insects.
what information supports the conclusion that polly acquired this trait?,"Polly learned biology by reading, observing, and experimenting."
"based on this information, what is this fly's phenotype for the antenna type trait?",normal antennae
"complete the statement.
during this chemical reaction, the air around the reaction becomes ().",colder
how long is a paper clip?,25 millimeters
what is the mass of a small candy bar?,60 grams
"what is the source of the allusion in the sentence below?
vince's remark about your new car is clearly a case of sour grapes.",a fable
"from august to november 1918, the allied powers won many battles. this was called the hundred days offensive. what happened after the hundred days offensive?",Germany surrendered to the Allied powers.
"based on this information, what is lyla's genotype for the coat pattern gene?",aa
"does this passage describe the weather or the climate?
jasmine lives in a windy place.",climate
"what does the idiom in this text suggest?
mr. and mrs. erickson usually see eye to eye, but not when it comes to the controversial mayoral race.",Mr. and Mrs. Erickson usually agree.
"is the following trait inherited or acquired?
doug has a scar on his left leg.",acquired
what is the mass of a dinner fork?,85 grams
how long does it take to do ten jumping jacks?,21 seconds
"complete the statement. assume that the motorcycle's mass did not change.
the gravitational potential energy stored between the motorcycle and earth () as josiah rode up the hill.",increased
"what do these two changes have in common?
a crayon melting in the sun
a puddle freezing into ice on a cold night",Both are only physical changes.
"read the following excerpt from a student essay. how can the writer best improve his or her academic voice?
many people don't recycle because throwing things away is easier, even though doing so can be damaging to the environment. people are lazy and selfish, always wanting what is good for themselves, not necessarily what is good for society. as a result, many people do not take the steps that are required to recycle different materials. for example, some towns require residents to sort items before leaving them at the curbside; this causes some to skip recycling altogether, even though doing so is unethical.",by maintaining an objective tone
what is the mass of an eraser?,42 grams
"read the following excerpt from a student essay. how can the writer best improve his or her ideas and development?
wearing a bicycle helmet is the best way to protect yourself against fatal head injuries. several studies have shown that riders who wore helmets had a reduction in their risk of head and brain injuries. more and better bike lanes in our cities would help protect cyclists from danger. children especially benefit from wearing helmets, since they experience the majority of bicycling accidents that cause serious head injuries.",by removing a second main idea
"complete the sentence.
cutting your fingernails is a ().",physical change
"what is the source of the allusion in the sentence below?
when i learned the details of kiera's faustian bargain, i was in disbelief.",literature
"is this a run-on sentence?
mexico is the world's largest avocado producer, one variety is so profitable that mexican farmers refer to the fruit as oro verde, or green gold.",yes
what information supports the conclusion that marvin acquired this trait?,Marvin learned to speak two languages in school.
"what is the source of the allusion in the sentence below?
sidney told her friends that desmond was a typical peter pan type.",literature
"is the following trait inherited or acquired?
stefan can play the clarinet.",acquired
"does this passage describe the weather or the climate?
where desmond lives, winds blowing from the northeast are rare in july.",climate
how long is a long-distance running race?,23 miles
"does this passage describe the weather or the climate?
where jon lives, the wind often blows in from the nearby hills.",climate
"what is the source of the allusion in the sentence below?
looking at his life, we couldn't help but see pablo as a job-like figure.",the Bible
"based on this information, what is mortimer's phenotype for the fur color trait?",black fur
"what kind of sentence is this?
lucia considers paris the most romantic city in the world.",declarative
"would you find the word mint on a dictionary page with the following guide words?
marriage - modest",yes
"what is the source of the allusion in the sentence below?
looking at his life, we couldn't help but see mitch as a job-like figure.",the Bible
what is the mass of a full box of cereal?,500 grams
"what is the source of the allusion in the sentence below?
justin picked up his pace on the trail as his spidey sense began to tingle.",a comic book
is a globe a good or a service?,a good
"according to newton's third law, what other force must be happening?",The door is pushing on Miranda's hand.
what information supports the conclusion that greta acquired this trait?,Greta's scar was caused by an accident. She cut her arm when she fell off her bicycle.
what is the mass of a goat?,35 kilograms
"would you find the word roam on a dictionary page with the following guide words?
reality - rudder",yes
"what kind of sentence is this?
how well does jaylen play the guitar?",interrogative
"what is the source of the allusion in the sentence below?
from the look on her face, rhianna is carrying an albatross around her neck.",a poem
"does this passage describe the weather or the climate?
while at the park today, elijah noticed that the wind was coming from the southwest.",weather
"would you find the word object on a dictionary page with the following guide words?
off - onion",no
"according to newton's third law, what other force must be happening?",The suitcase is pulling on Dean.
how long is a potato?,7 inches
"what do these two changes have in common?
water evaporating from a lake
ice crystals forming on a window",Both are only physical changes.
"is the following trait inherited or acquired?
bridget has five fingers on each hand.",inherited
"based on this information, what is lady's phenotype for the coat color trait?",a black coat
"what is the source of the allusion in the sentence below?
tyrone's remark about your new car is clearly a case of sour grapes.",a fable
choose the poem that uses onomatopoeia.,"Chariots rumbling; horses neighing;
Soldiers shouting martial cries;
Drums are sounding; trumpets braying;
Seas of glittering spears arise."
"complete the statement.
radon is ().",an elementary substance
"complete the sentence so that it uses personification.
""you might think you'll always be young,"" mrs. stone counseled, ""but time ()"".",creeps up on you
how long is a human front tooth?,12 millimeters
what information supports the conclusion that daniel acquired this trait?,Daniel learned how to knit in an after school program.
"would you find the word tub on a dictionary page with the following guide words?
tax - theory",no
how long is a hammer?,19 centimeters
"what is the source of the allusion in the sentence below?
""the reporter on the news said we may have to evaporate the island if the storm gets any worse,"" my younger sister explained, unaware of her malapropism.",literature
"according to newton's third law, what other force must be happening?",The gas pedal is pushing on Susan's foot.
"would you find the word arrest on a dictionary page with the following guide words?
act - axis",yes
"would you find the word laughter on a dictionary page with the following guide words?
lever - litter",no
"based on this information, what is kitkat's phenotype for the agouti fur trait?",having agouti fur
"would you find the word foul on a dictionary page with the following guide words?
farm - free",yes
what information supports the conclusion that carmen acquired this trait?,Carmen was not born knowing how to identify different bird calls. She had to learn this skill.
"complete the sentence.
an air freshener making a room smell nice is a ().",physical change
what information supports the conclusion that shelley inherited this trait?,Shelley's parents were born with wavy hair. They passed down this trait to Shelley.
"would you find the word speck on a dictionary page with the following guide words?
sombrero - sway",yes
"what do these two changes have in common?
peeling a banana
tying a shoelace",Both are only physical changes.
how long is a parking space?,20 feet
is a purse a good or a service?,a good
"based on this information, what is jack's phenotype for the cheek color trait?",bright orange cheeks
"look at the word. does it have a closed syllable or an open syllable?
beg",closed
"what does the idiom in this text suggest?
mr. and mrs. campbell usually see eye to eye, but not when it comes to the controversial mayoral race.",Mr. and Mrs. Campbell usually agree.
what is the volume of a bowl of soup?,280 milliliters
"does this passage describe the weather or the climate?
hassan noticed that the wind was blowing in from the ocean this afternoon.",weather
"what is the source of the allusion in the sentence below?
christina told her friends that devin was a typical peter pan type.",literature
"would you find the word repair on a dictionary page with the following guide words?
ranch - ripple",yes
"does the sentence use a simile or a metaphor?
mrs. boyd is kind, and her heart is gold.",metaphor
"what does the allusion in this text suggest?
with the gutters clogged and water rising in the streets, tanvi, who was watching the storm from her window, commented, ""we're going to need an ark to get out of here.""",Tanvi thinks the storm will cause major flooding.
"complete the sentence.
fossils are () of ancient organisms.",preserved remains of the body parts or activities
"complete the sentence.
in this chemical reaction, water is a ().",reactant
"is this a run-on sentence?
at okunoin, japan's largest cemetery, visitors will find some unusual memorials, there's even a monument to puffer fish that have died at the hands of chefs.",yes
what information supports the conclusion that diane inherited this trait?,Both of Diane's biological parents have naturally black hair.
what information supports the conclusion that ed acquired this trait?,Ed learned how to knit in an after school program.
"complete the sentence.
thomas edison was a famous ().",inventor
what information supports the conclusion that melissa inherited this trait?,Melissa's parents have dark skin. They passed down this trait to Melissa.
"what kind of sentence is this?
in the game today, norma hit a home run with bases loaded!",exclamatory
"what do these two changes have in common?
burning a candle
melting glass",Both are caused by heating.
how long is a tennis racket?,60 centimeters
"what does the verbal irony in this text suggest?
after a jog around the block, jasmine collapsed on the couch and declared with a wheeze, ""well, i'm ready to run a marathon.""",Jasmine was out of shape.
"is the following statement true or false?
an animal cell has a cell membrane.",true
"what is the source of the allusion in the sentence below?
by the time anita had finished explaining to mr. dodson what had happened, her friends were laughingly referring to her as scheherazade.",ancient legend
"complete the sentence so that it uses personification.
as todd rushed down the hill, the wind () his ears.",sang in
"what do these two changes have in common?
a piece of pear turning brown
baking cookies",Both are chemical changes.
how long is a long-distance running race?,15 miles
"read the following excerpt from a student essay. how can the writer best improve his or her narrative voice?
during our last game, our pitcher felipe suddenly grabbed his wrist after throwing a fastball. coach hoffman asked him if he was ok, and felipe said that it hurt. none of us knew what was wrong with him and he was whisked off to the doctor, who ultimately diagnosed a forearm strain and wrist tendinitis. after three weeks of rehabilitation, felipe finally returned. coach hoffman said he was glad felipe was back, and felipe said he was happy and relieved.",by adding dialogue
what information supports the conclusion that ryan acquired this trait?,Ryan learned to identify insects by reading many books about insects.
"complete the statement. assume that robert's mass did not change.
the gravitational potential energy stored between robert and earth () as he rode the escalator.",increased
what is the volume of a large soup pot?,4 liters
"what do these two changes have in common?
a penny tarnishing
an old sandwich rotting in a trashcan",Both are chemical changes.
"what kind of sentence is this?
do you know dalton from soccer camp, or do you have another connection with him?",interrogative
how long is a seesaw?,4 yards
what is the mass of a passenger airplane?,47 tons
"does this passage describe the weather or the climate?
it is snowing in sam's town today.",weather
"does the sentence use a simile or a metaphor?
tracy went down the slide face-first, like a penguin.",simile
"complete the sentence.
in this chemical reaction, propane is a ().",reactant
how long does it take to blow your nose?,5 seconds
"what does the verbal irony in this text suggest?
""this salsa could use a little more spice,"" fred said as he gulped down water and wiped tears from his eyes.",The salsa was too spicy.
"is the following trait inherited or acquired?
cindy has five toes on each foot.",inherited
"complete the sentence so that it uses personification.
the meadow grasses () in the light breeze of a summer evening.",waltzed
"would you find the word partner on a dictionary page with the following guide words?
plastic - prance",no
what information supports the conclusion that beth acquired this trait?,Beth learned how to make chili from a recipe book.
"does this passage describe the weather or the climate?
brad lives in a city that is often covered by thick stratus clouds.",climate
"based on this information, what is ringo's phenotype for the fur color trait?",dark fur
"complete the sentence.
the eighth amendment says the government can () use cruel and unusual punishments.",never
"is the following trait inherited or acquired?
ellie has naturally curly hair.",inherited
"would you find the word different on a dictionary page with the following guide words?
demand - drink",yes
"what is the source of the allusion in the sentence below?
before victoria had even met her future husband in person, she knew about his reputation as a romeo.",literature
"is the following trait inherited or acquired?
sadie is good at knitting scarves.",acquired
"what is the source of the allusion in the sentence below?
tucker's research on nineteenth-century philosophers led him down the rabbit hole.",literature
what is the mass of a full box of cereal?,480 grams
"what kind of sentence is this?
brittany put a bandage on my cut.",declarative
"is the following trait inherited or acquired?
rachel is good at knitting scarves.",acquired
"is the following trait inherited or acquired?
deion has naturally pale skin.",inherited
"last year, there were seven men's clothing stores on main street in newport. this year, there are only three. what probably happened to the overall supply of men's shirts in newport?",The supply probably went down.
what is the mass of a pair of goggles?,4 ounces
"would you find the word traitor on a dictionary page with the following guide words?
thirteen - tinsel",no
what information supports the conclusion that christine acquired this trait?,Christine learned history by reading.
"what is the source of the allusion in the sentence below?
grayson's recent behavior made his parents begin to see his friend hanson as some sort of svengali.",literature
what information supports the conclusion that linda acquired this trait?,Linda learned how to play the cello in music class.
"based on this information, what is this bitter melon plant's phenotype for the seed color trait?",dark brown seeds
"what does the euphemism in this text suggest?
""thank you for your work over the years,"" mrs. kramer said to her gardener. ""as of next week, however, your services will no longer be required.""",The gardener is being fired.
"is the following trait inherited or acquired?
angie plays basketball.",acquired
how long does it take to make a paper airplane?,55 seconds
"based on this information, what is mickey's phenotype for the fur color trait?",brown fur
what is the volume of a bottle of hot sauce?,2 fluid ounces
"what do these two changes have in common?
chemicals in a battery reacting to power a flashlight
an old sandwich rotting in a trashcan",Both are chemical changes.
how long is a garden rake?,5 feet
"would you find the word drought on a dictionary page with the following guide words?
divide - dungeon",yes
is there a surplus or a shortage of picture frames?,surplus
"complete the statement.
hydrogen peroxide is ().",a compound
"complete the sentences.
the fifth amendment talks about the rights of people who are accused of crimes. for example, anyone accused of a crime has the right to remain silent. the amendment also says that no person can be put on trial for ().",the same crime more than once
"what does the verbal irony in this text suggest?
after a jog around the block, alice collapsed on the couch and declared with a wheeze, ""well, i'm ready to run a marathon.""",Alice was out of shape.
"read the following excerpt from a student essay. how can the writer best improve his or her academic voice?
the belly produces acid to break down food. in patients who suffer from gastroesophageal reflux disease, more commonly known as gerd or acid reflux, the acid moves backward into the eating tube. most often, gerd occurs because the lower esophageal sphincter, the thing at the junction of the eating tube and the belly, doesn't close the way it should or opens at the wrong time.",by using more technical terms
"what does the euphemism in this text suggest?
""thank you for your work over the years,"" mrs. nolan said to her gardener. ""as of next week, however, your services will no longer be required.""",The gardener is being fired.
"what is the source of the allusion in the sentence below?
maddie entered the bustling, aromatic spice market in istanbul and said to her travel companion, ""we're not in kansas anymore.""",a movie
"what does the verbal irony in this text suggest?
after a jog around the block, charlotte collapsed on the couch and declared with a wheeze, ""well, i'm ready to run a marathon.""",Charlotte was out of shape.
what information supports the conclusion that ted acquired this trait?,Ted learned how to knit in an after school program.
"what does the metaphor in this text suggest?
laughter is sunshine; it chases winter from the human face.
—victor hugo, les misérables",Laughter can brighten people's moods.
"based on this information, what is this rose plant's phenotype for the thorns trait?",not having thorns
"complete the sentences.
the sixth amendment talks about criminal trials. it says that anyone charged with a crime has a right to get help from a lawyer. it also says that all criminal trials must be () and ().",speedy . . . public
"based on this information, what is this fruit fly's phenotype for the eye color trait?",red eyes
"does this passage describe the weather or the climate?
franklin noticed that the wind was blowing in from the ocean this afternoon.",weather
"based on this information, what is truffle's phenotype for the fur texture trait?",straight fur
"based on this information, what is this fly's phenotype for the antenna type trait?",mutated antennae
what information supports the conclusion that tommy inherited this trait?,Tommy's parents were born with straight hair. They passed down this trait to Tommy.
what is the mass of a school bus?,12 tons
how long is a bench?,12 feet
"would you find the word beets on a dictionary page with the following guide words?
birthday - bounty",no
how long is a sofa?,7 feet
"what kind of sentence is this?
does sasha prefer pizza or pasta?",interrogative
what information supports the conclusion that natalie inherited this trait?,Both of Natalie's biological parents have naturally black hair.
what information supports the conclusion that emmy acquired this trait?,Emmy's scar was caused by an accident. She cut her leg when she was climbing a tree.
"what do these two changes have in common?
mixing chocolate syrup into milk
stapling an envelope shut",Both are only physical changes.
"complete the sentence so that it uses personification.
the elaborate monument () the attention of everyone who came near it.",demanded
"what do these two changes have in common?
silver jewelry tarnishing
baking cookies",Both are chemical changes.
"what do these two changes have in common?
cooking an egg
salt and vinegar removing tarnish from a penny",Both are chemical changes.
"what do these two changes have in common?
burning a candle
sauce burning on a stove",Both are caused by heating.
"what does the verbal irony in this text suggest?
""sleeping through the rooster's crowing was no problem,"" bruce joked with a yawn.",Bruce slept poorly.
"would you find the word done on a dictionary page with the following guide words?
detective - drum",yes
"is the following trait inherited or acquired?
sarah has a scar on her right ankle.",acquired
"complete the sentence.
in this chemical reaction, ammonium nitrate is a ().",reactant
how long is a soccer field?,110 meters
"last year, there were seven men's clothing stores on main street in manchester. this year, there are only three. what probably happened to the overall supply of men's shirts in manchester?",The supply probably went down.
"based on this information, what is koko's phenotype for the body feather color trait?",blue body feathers
"does this passage describe the weather or the climate?
edinburgh, scotland, has warm summers and cold winters.",climate
how long is an ice skate?,27 centimeters
"what do these two changes have in common?
compost rotting
burning a piece of wood",Both are chemical changes.
"would you find the word crooked on a dictionary page with the following guide words?
company - curious",yes
"does the sentence use a simile or a metaphor?
marie went down the slide face-first, like a penguin.",simile
what information supports the conclusion that cindy acquired this trait?,"Cindy learned biology by reading, observing, and experimenting."
"does the sentence use a simile or a metaphor?
my dog, bandit, is the security guard for our front yard mailbox.",metaphor
"what do these two changes have in common?
a piece of pear turning brown
salt and vinegar removing tarnish from a penny",Both are chemical changes.
"what does the metaphor in this text suggest?
ayana felt a roller coaster of emotions when she heard the news.",Ayana had varied feelings.
"is the following trait inherited or acquired?
jonathan can fly an airplane.",acquired
"would you find the word sailor on a dictionary page with the following guide words?
sour - stone",no
"what kind of sentence is this?
please take the garbage out.",imperative
"what do these two changes have in common?
an old sandwich rotting in a trashcan
milk going sour",Both are chemical changes.
"what does the hyperbole in this text suggest?
the last time dustin cleaned his room, dinosaurs were still roaming the earth.",Dustin hasn't cleaned his room in a very long time.
"what does the verbal irony in this text suggest?
""this is the best day of my life,"" mr. yang mumbled after his car broke down on the way to an important job interview.",Mr. Yang was having a bad day.
"complete the sentence.
heating water in a microwave is a ().",physical change
"complete the statement.
silicon is ().",an elementary substance
"is the following trait inherited or acquired?
ryan has a scar on his right knee.",acquired
